#   R   (LS,N)= ( 0, 0)      ( 1, 0)      ( 2, 0)      ( 0, 1)      ( 1, 1)      ( 2, 1)      ( 0, 2)      ( 1, 2)      ( 2, 2)
   6.600      2.77473E-01  1.64206E-01  7.52724E-02  2.20817E-01  2.05076E-01  1.19685E-01  1.41778E-01  2.09950E-01  1.51524E-01
   6.700      2.79427E-01  1.67868E-01  7.81169E-02  2.18713E-01  2.07947E-01  1.23538E-01  1.36339E-01  2.10814E-01  1.55479E-01
   6.800      2.81298E-01  1.71515E-01  8.10051E-02  2.16438E-01  2.10698E-01  1.27401E-01  1.30729E-01  2.11454E-01  1.59371E-01
   6.900      2.83087E-01  1.75144E-01  8.39354E-02  2.13995E-01  2.13325E-01  1.31268E-01  1.24954E-01  2.11869E-01  1.63192E-01
   7.000      2.84792E-01  1.78753E-01  8.69064E-02  2.11387E-01  2.15826E-01  1.35136E-01  1.19021E-01  2.12055E-01  1.66935E-01
   7.100      2.86415E-01  1.82339E-01  8.99167E-02  2.08615E-01  2.18195E-01  1.39000E-01  1.12940E-01  2.12010E-01  1.70592E-01
   7.200      2.87955E-01  1.85902E-01  9.29647E-02  2.05682E-01  2.20431E-01  1.42854E-01  1.06717E-01  2.11733E-01  1.74156E-01
   7.300      2.89413E-01  1.89438E-01  9.60488E-02  2.02591E-01  2.22529E-01  1.46696E-01  1.00360E-01  2.11221E-01  1.77620E-01
   7.400      2.90789E-01  1.92946E-01  9.91674E-02  1.99345E-01  2.24486E-01  1.50519E-01  9.38779E-02  2.10474E-01  1.80976E-01
   7.500      2.92082E-01  1.96423E-01  1.02319E-01  1.95946E-01  2.26299E-01  1.54320E-01  8.72788E-02  2.09491E-01  1.84217E-01
   7.600      2.93294E-01  1.99868E-01  1.05501E-01  1.92398E-01  2.27966E-01  1.58093E-01  8.05711E-02  2.08270E-01  1.87337E-01
   7.700      2.94424E-01  2.03278E-01  1.08713E-01  1.88704E-01  2.29483E-01  1.61834E-01  7.37633E-02  2.06813E-01  1.90329E-01
   7.800      2.95473E-01  2.06652E-01  1.11953E-01  1.84867E-01  2.30849E-01  1.65538E-01  6.68640E-02  2.05120E-01  1.93185E-01
   7.900      2.96442E-01  2.09987E-01  1.15218E-01  1.80890E-01  2.32060E-01  1.69200E-01  5.98819E-02  2.03190E-01  1.95899E-01
   8.000      2.97330E-01  2.13282E-01  1.18508E-01  1.76776E-01  2.33115E-01  1.72816E-01  5.28258E-02  2.01025E-01  1.98465E-01
   8.100      2.98138E-01  2.16535E-01  1.21819E-01  1.72530E-01  2.34011E-01  1.76380E-01  4.57046E-02  1.98627E-01  2.00876E-01
   8.200      2.98867E-01  2.19744E-01  1.25151E-01  1.68155E-01  2.34748E-01  1.79889E-01  3.85271E-02  1.95997E-01  2.03127E-01
   8.300      2.99517E-01  2.22908E-01  1.28500E-01  1.63654E-01  2.35322E-01  1.83337E-01  3.13022E-02  1.93137E-01  2.05212E-01
   8.400      3.00088E-01  2.26024E-01  1.31867E-01  1.59032E-01  2.35732E-01  1.86720E-01  2.40390E-02  1.90050E-01  2.07124E-01
   8.500      3.00582E-01  2.29091E-01  1.35247E-01  1.54291E-01  2.35978E-01  1.90034E-01  1.67463E-02  1.86738E-01  2.08860E-01
   8.600      3.00998E-01  2.32107E-01  1.38640E-01  1.49437E-01  2.36058E-01  1.93273E-01  9.43322E-03  1.83205E-01  2.10413E-01
   8.700      3.01338E-01  2.35071E-01  1.42043E-01  1.44473E-01  2.35971E-01  1.96433E-01  2.10860E-03  1.79454E-01  2.11779E-01
   8.800      3.01603E-01  2.37982E-01  1.45455E-01  1.39402E-01  2.35716E-01  1.99510E-01 -5.21858E-03  1.75488E-01  2.12953E-01
   8.900      3.01792E-01  2.40837E-01  1.48873E-01  1.34229E-01  2.35292E-01  2.02499E-01 -1.25394E-02  1.71313E-01  2.13930E-01
   9.000      3.01906E-01  2.43635E-01  1.52295E-01  1.28959E-01  2.34700E-01  2.05397E-01 -1.98451E-02  1.66932E-01  2.14708E-01
   9.100      3.01947E-01  2.46376E-01  1.55719E-01  1.23595E-01  2.33939E-01  2.08198E-01 -2.71268E-02  1.62351E-01  2.15281E-01
   9.200      3.01915E-01  2.49057E-01  1.59143E-01  1.18142E-01  2.33008E-01  2.10899E-01 -3.43758E-02  1.57573E-01  2.15647E-01
   9.300      3.01811E-01  2.51677E-01  1.62566E-01  1.12603E-01  2.31908E-01  2.13496E-01 -4.15834E-02  1.52605E-01  2.15802E-01
   9.400      3.01636E-01  2.54236E-01  1.65984E-01  1.06983E-01  2.30640E-01  2.15984E-01 -4.87411E-02  1.47453E-01  2.15744E-01
